mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.2812;2.67966;0.000343019
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/460239/256x256_out_hybrid_2d_seq.h5;seq;43.2812;2.73699;0.000350357
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/460239/256x256_out_hybrid_2d_seq.h5;seq;43.2812;2.7407;0.000350832
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.2812;2.69885;0.000345475
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/460239/256x256_out_hybrid_2d_seq.h5;seq;43.2812;2.73839;0.000350537
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/460239/256x256_out_hybrid_2d_seq.h5;seq;43.2812;2.74109;0.000350882
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.3793;5.30143;0.00135725
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460239/512x512_out_hybrid_2d_seq.h5;seq;28.3793;5.48105;0.00140324
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460239/512x512_out_hybrid_2d_seq.h5;seq;28.3793;5.48103;0.00140323
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.3793;5.42182;0.00138807
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460239/512x512_out_hybrid_2d_seq.h5;seq;28.3793;5.48285;0.0014037
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460239/512x512_out_hybrid_2d_seq.h5;seq;28.3793;5.48099;0.00140322
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;;seq;22.9994;12.8366;0.00657275
