mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.2812;2.67857;0.000342879
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/461998/256x256_out_mpi_2d_seq.h5;seq;43.2812;2.7442;0.00035128
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/461998/256x256_out_mpi_2d_seq.h5;seq;43.2812;2.74248;0.00035106
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.2812;2.64519;0.000338606
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/461998/256x256_out_mpi_2d_seq.h5;seq;43.2812;2.74197;0.000350994
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/461998/256x256_out_mpi_2d_seq.h5;seq;43.2812;2.74264;0.00035108
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.3793;5.30098;0.00135714
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/461998/512x512_out_mpi_2d_seq.h5;seq;28.3793;5.48756;0.00140491
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/461998/512x512_out_mpi_2d_seq.h5;seq;28.3793;5.48598;0.0014045
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.3793;5.29942;0.00135674
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/461998/512x512_out_mpi_2d_seq.h5;seq;28.3793;5.48399;0.00140399
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/461998/512x512_out_mpi_2d_seq.h5;seq;28.3793;5.48367;0.00140391
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;;seq;22.9994;12.8803;0.00659511
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/461998/1024x1024_out_mpi_2d_seq.h5;seq;22.9994;13.2798;0.0067997
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/461998/1024x1024_out_mpi_2d_seq.h5;seq;22.9994;13.3953;0.00685884
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;;seq;22.9994;12.8452;0.00657718
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/461998/1024x1024_out_mpi_2d_seq.h5;seq;22.9994;13.4012;0.00686183
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/461998/1024x1024_out_mpi_2d_seq.h5;seq;22.9994;13.286;0.00680285
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;;seq;21.0745;26.6845;0.0273407
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/461998/2048x2048_out_mpi_2d_seq.h5;seq;21.0745;26.9631;0.0276261
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/461998/2048x2048_out_mpi_2d_seq.h5;seq;21.0745;27.1016;0.027768
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;;seq;21.0745;27.0793;0.0277452
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/461998/2048x2048_out_mpi_2d_seq.h5;seq;21.0745;27.5403;0.0282176
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/461998/2048x2048_out_mpi_2d_seq.h5;seq;21.0745;27.1714;0.0278396
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;;seq;20.387;52.5863;0.107759
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/461998/4096x4096_out_mpi_2d_seq.h5;seq;20.387;54.0274;0.110712
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/461998/4096x4096_out_mpi_2d_seq.h5;seq;20.387;54.0809;0.110822
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;;seq;20.387;52.4286;0.107436
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/461998/4096x4096_out_mpi_2d_seq.h5;seq;20.387;54.0154;0.110687
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/461998/4096x4096_out_mpi_2d_seq.h5;seq;20.387;55.0041;0.112713
16;4;4;1;256;78125;50;0.001;input_data_256.h5;;par;83.8104;1.38681;1.77512e-05
