mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.2812;2.69785;0.000345346
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/460602/256x256_out_hybrid_2d_seq.h5;seq;43.2812;2.74549;0.000351446
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/460602/256x256_out_hybrid_2d_seq.h5;seq;43.2812;2.7432;0.000351152
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.2812;2.70316;0.000346027
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/460602/256x256_out_hybrid_2d_seq.h5;seq;43.2812;2.74439;0.000351304
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/460602/256x256_out_hybrid_2d_seq.h5;seq;43.2812;2.74398;0.000351251
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.3793;5.42441;0.00138874
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460602/512x512_out_hybrid_2d_seq.h5;seq;28.3793;5.48912;0.0014053
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460602/512x512_out_hybrid_2d_seq.h5;seq;28.3793;5.48683;0.00140472
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.3793;5.42701;0.0013894
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460602/512x512_out_hybrid_2d_seq.h5;seq;28.3793;5.48592;0.00140448
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460602/512x512_out_hybrid_2d_seq.h5;seq;28.3793;5.86507;0.00150155
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;;seq;22.9994;13.5407;0.00693326
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/460602/1024x1024_out_hybrid_2d_seq.h5;seq;22.9994;13.2203;0.00676923
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/460602/1024x1024_out_hybrid_2d_seq.h5;seq;22.9994;13.2179;0.00676801
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;;seq;22.9994;13.0978;0.00670649
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/460602/1024x1024_out_hybrid_2d_seq.h5;seq;22.9994;13.2153;0.00676669
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/460602/1024x1024_out_hybrid_2d_seq.h5;seq;22.9994;13.2137;0.00676583
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;;seq;21.0745;26.784;0.0274427
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/460602/2048x2048_out_hybrid_2d_seq.h5;seq;21.0745;26.9655;0.0276286
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/460602/2048x2048_out_hybrid_2d_seq.h5;seq;21.0745;26.9534;0.0276162
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;;seq;21.0745;26.709;0.0273658
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/460602/2048x2048_out_hybrid_2d_seq.h5;seq;21.0745;26.9673;0.0276304
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/460602/2048x2048_out_hybrid_2d_seq.h5;seq;21.0745;26.9625;0.0276255
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;;seq;20.387;53.2642;0.109148
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/460602/4096x4096_out_hybrid_2d_seq.h5;seq;20.387;54.1013;0.110863
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/460602/4096x4096_out_hybrid_2d_seq.h5;seq;20.387;54.0981;0.110857
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;;seq;20.387;52.4996;0.107581
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/460602/4096x4096_out_hybrid_2d_seq.h5;seq;20.387;54.0357;0.110729
