mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.2812;2.64649;0.000338772
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/460600/256x256_out_mpi_2d_seq.h5;seq;43.2812;2.74489;0.000351368
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/460600/256x256_out_mpi_2d_seq.h5;seq;43.2812;2.74359;0.000351202
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.2812;2.64549;0.000338644
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/460600/256x256_out_mpi_2d_seq.h5;seq;43.2812;2.74233;0.000351041
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/460600/256x256_out_mpi_2d_seq.h5;seq;43.2812;2.74344;0.000351183
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.3793;5.30477;0.00135811
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460600/512x512_out_mpi_2d_seq.h5;seq;28.3793;5.48952;0.00140541
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460600/512x512_out_mpi_2d_seq.h5;seq;28.3793;5.49251;0.00140617
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.3793;5.30291;0.00135763
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460600/512x512_out_mpi_2d_seq.h5;seq;28.3793;5.48695;0.00140475
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460600/512x512_out_mpi_2d_seq.h5;seq;28.3793;5.48757;0.00140491
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;;seq;22.9994;13.2205;0.00676935
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/460600/1024x1024_out_mpi_2d_seq.h5;seq;22.9994;13.2169;0.00676747
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/460600/1024x1024_out_mpi_2d_seq.h5;seq;22.9994;13.2166;0.00676733
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;;seq;22.9994;12.9515;0.00663157
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/460600/1024x1024_out_mpi_2d_seq.h5;seq;22.9994;13.2215;0.00676983
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/460600/1024x1024_out_mpi_2d_seq.h5;seq;22.9994;13.2318;0.00677511
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;;seq;21.0745;26.1601;0.0268034
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/460600/2048x2048_out_mpi_2d_seq.h5;seq;21.0745;27.5668;0.0282447
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/460600/2048x2048_out_mpi_2d_seq.h5;seq;21.0745;26.9537;0.0276165
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;;seq;21.0745;26.1798;0.0268236
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/460600/2048x2048_out_mpi_2d_seq.h5;seq;21.0745;27.1402;0.0278076
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/460600/2048x2048_out_mpi_2d_seq.h5;seq;21.0745;26.9425;0.027605
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;;seq;20.387;53.9176;0.110487
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/460600/4096x4096_out_mpi_2d_seq.h5;seq;20.387;54.0397;0.110737
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/460600/4096x4096_out_mpi_2d_seq.h5;seq;20.387;54.0005;0.110657
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;;seq;20.387;53.5253;0.109683
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/460600/4096x4096_out_mpi_2d_seq.h5;seq;20.387;55.0575;0.112823
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/460600/4096x4096_out_mpi_2d_seq.h5;seq;20.387;54.0635;0.110786
16;4;4;1;256;78125;50;0.001;input_data_256.h5;;par;83.8104;1.18683;1.51915e-05
16;4;4;1;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/460600/256x256_out_mpi_2d_par.h5;par;83.8104;1.69237;2.16623e-05
16;4;4;1;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/460600/256x256_out_mpi_2d_par.h5;par;83.8104;18.6571;0.00023881
