mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.2812;2.64333;0.000338368
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/460238/256x256_out_hybrid_1d_seq.h5;seq;43.2812;2.74015;0.000350761
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/460238/256x256_out_hybrid_1d_seq.h5;seq;43.2812;2.7392;0.00035064
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.2812;2.70241;0.000345931
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/460238/256x256_out_hybrid_1d_seq.h5;seq;43.2812;2.73904;0.00035062
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/460238/256x256_out_hybrid_1d_seq.h5;seq;43.2812;2.73877;0.000350585
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.3793;5.42512;0.00138892
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460238/512x512_out_hybrid_1d_seq.h5;seq;28.3793;5.48258;0.00140363
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460238/512x512_out_hybrid_1d_seq.h5;seq;28.3793;5.48286;0.0014037
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.3793;5.42037;0.0013877
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460238/512x512_out_hybrid_1d_seq.h5;seq;28.3793;5.48352;0.00140387
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460238/512x512_out_hybrid_1d_seq.h5;seq;28.3793;5.48154;0.00140337
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;;seq;22.9994;13.1263;0.00672111
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/460238/1024x1024_out_hybrid_1d_seq.h5;seq;22.9994;13.2144;0.0067662
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/460238/1024x1024_out_hybrid_1d_seq.h5;seq;22.9994;13.2373;0.00677793
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;;seq;22.9994;13.102;0.00670866
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/460238/1024x1024_out_hybrid_1d_seq.h5;seq;22.9994;13.3119;0.00681615
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/460238/1024x1024_out_hybrid_1d_seq.h5;seq;22.9994;13.2586;0.00678886
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;;seq;21.0745;26.7;0.0273565
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/460238/2048x2048_out_hybrid_1d_seq.h5;seq;21.0745;26.9383;0.0276007
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/460238/2048x2048_out_hybrid_1d_seq.h5;seq;21.0745;26.9268;0.027589
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;;seq;21.0745;26.7026;0.0273593
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/460238/2048x2048_out_hybrid_1d_seq.h5;seq;21.0745;26.9469;0.0276095
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/460238/2048x2048_out_hybrid_1d_seq.h5;seq;21.0745;26.9258;0.0275879
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;;seq;20.387;53.0622;0.108734
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/460238/4096x4096_out_hybrid_1d_seq.h5;seq;20.387;54.0058;0.110668
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/460238/4096x4096_out_hybrid_1d_seq.h5;seq;20.387;54.3624;0.111398
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;;seq;20.387;53.5558;0.109745
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/460238/4096x4096_out_hybrid_1d_seq.h5;seq;20.387;54.0156;0.110688
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/460238/4096x4096_out_hybrid_1d_seq.h5;seq;20.387;54.0239;0.110705
2;2;1;16;256;78125;50;0.001;input_data_256.h5;;par;83.8103;1.7008;2.17703e-05
2;2;1;16;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/460238/256x256_out_hybrid_1d_par.h5;par;83.8103;2.18113;2.79184e-05
2;2;1;16;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/460238/256x256_out_hybrid_1d_par.h5;par;83.8103;8.09731;0.000103646
2;2;1;16;256;78125;50;0.001;input_data_256.h5;;par;83.8103;2.04359;2.6158e-05
2;2;1;16;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/460238/256x256_out_hybrid_1d_par.h5;par;83.8103;2.58378;3.30724e-05
2;2;1;16;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/460238/256x256_out_hybrid_1d_par.h5;par;83.8103;6.84799;8.76543e-05
2;2;1;16;512;39062;50;0.001;input_data_512.h5;;par;45.5815;1.60744;4.1151e-05
2;2;1;16;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460238/512x512_out_hybrid_1d_par.h5;par;45.5815;2.19757;5.62586e-05
2;2;1;16;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460238/512x512_out_hybrid_1d_par.h5;par;45.5815;10.2856;0.000263315
2;2;1;16;512;39062;50;0.001;input_data_512.h5;;par;45.5815;1.92952;4.93964e-05
2;2;1;16;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460238/512x512_out_hybrid_1d_par.h5;par;45.5815;2.5967;6.64764e-05
2;2;1;16;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460238/512x512_out_hybrid_1d_par.h5;par;45.5815;11.4975;0.000294339
2;2;1;16;1024;19531;50;0.001;input_data_1024.h5;;par;29.2149;2.1839;0.000111817
2;2;1;16;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/460238/1024x1024_out_hybrid_1d_par.h5;par;29.2149;3.26271;0.000167053
2;2;1;16;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/460238/1024x1024_out_hybrid_1d_par.h5;par;29.2149;21.2095;0.00108594
2;2;1;16;1024;19531;50;0.001;input_data_1024.h5;;par;29.2149;2.76695;0.00014167
2;2;1;16;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/460238/1024x1024_out_hybrid_1d_par.h5;par;29.2149;3.75531;0.000192274
2;2;1;16;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/460238/1024x1024_out_hybrid_1d_par.h5;par;29.2149;7.96985;0.000408061
2;2;1;16;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;4.27987;0.000438286
2;2;1;16;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/460238/2048x2048_out_hybrid_1d_par.h5;par;23.293;6.49986;0.000665628
2;2;1;16;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/460238/2048x2048_out_hybrid_1d_par.h5;par;23.293;24.6708;0.00252645
2;2;1;16;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;4.6886;0.000480143
2;2;1;16;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/460238/2048x2048_out_hybrid_1d_par.h5;par;23.293;6.9157;0.000708213
2;2;1;16;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/460238/2048x2048_out_hybrid_1d_par.h5;par;23.293;11.1648;0.00114335
2;2;1;16;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;10.3794;0.00212606
2;2;1;16;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/460238/4096x4096_out_hybrid_1d_par.h5;par;21.1715;15.1038;0.00309378
