mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.2812;2.94578;0.000377083
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/460240/256x256_out_mpi_2d_seq.h5;seq;43.2812;2.99856;0.00038384
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/460240/256x256_out_mpi_2d_seq.h5;seq;43.2812;2.99788;0.000383754
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.2812;2.86616;0.000366892
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/460240/256x256_out_mpi_2d_seq.h5;seq;43.2812;2.99729;0.000383678
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/460240/256x256_out_mpi_2d_seq.h5;seq;43.2812;2.99899;0.000383895
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.3793;5.7536;0.00147302
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460240/512x512_out_mpi_2d_seq.h5;seq;28.3793;6.07394;0.00155503
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460240/512x512_out_mpi_2d_seq.h5;seq;28.3793;6.00946;0.00153852
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.3793;5.75267;0.00147278
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460240/512x512_out_mpi_2d_seq.h5;seq;28.3793;6.00618;0.00153768
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460240/512x512_out_mpi_2d_seq.h5;seq;28.3793;6.00576;0.00153757
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;;seq;22.9994;14.3335;0.0073392
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/460240/1024x1024_out_mpi_2d_seq.h5;seq;22.9994;14.5811;0.00746599
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/460240/1024x1024_out_mpi_2d_seq.h5;seq;22.9994;14.5654;0.00745796
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;;seq;22.9994;14.0551;0.00719668
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/460240/1024x1024_out_mpi_2d_seq.h5;seq;22.9994;14.5692;0.00745989
