mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.2812;2.6451;0.000338594
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/460294/256x256_out_hybrid_1d_seq.h5;seq;43.2812;2.74382;0.000351232
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/460294/256x256_out_hybrid_1d_seq.h5;seq;43.2812;2.7421;0.000351011
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.2812;2.69966;0.000345579
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/460294/256x256_out_hybrid_1d_seq.h5;seq;43.2812;2.73981;0.000350719
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/460294/256x256_out_hybrid_1d_seq.h5;seq;43.2812;2.74025;0.000350775
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.3793;5.30072;0.00135707
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460294/512x512_out_hybrid_1d_seq.h5;seq;28.3793;5.48555;0.00140439
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460294/512x512_out_hybrid_1d_seq.h5;seq;28.3793;5.48342;0.00140385
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.3793;5.29977;0.00135683
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460294/512x512_out_hybrid_1d_seq.h5;seq;28.3793;5.48282;0.00140369
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460294/512x512_out_hybrid_1d_seq.h5;seq;28.3793;5.48247;0.0014036
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;;seq;22.9994;13.0357;0.00667471
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/460294/1024x1024_out_hybrid_1d_seq.h5;seq;22.9994;13.2901;0.00680499
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/460294/1024x1024_out_hybrid_1d_seq.h5;seq;22.9994;13.41;0.00686636
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;;seq;22.9994;13.2472;0.00678302
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/460294/1024x1024_out_hybrid_1d_seq.h5;seq;22.9994;13.311;0.00681568
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/460294/1024x1024_out_hybrid_1d_seq.h5;seq;22.9994;13.2437;0.0067812
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;;seq;21.0745;26.1926;0.0268366
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/460294/2048x2048_out_hybrid_1d_seq.h5;seq;21.0745;26.9548;0.0276176
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/460294/2048x2048_out_hybrid_1d_seq.h5;seq;21.0745;26.9621;0.0276251
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;;seq;21.0745;26.6916;0.027348
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/460294/2048x2048_out_hybrid_1d_seq.h5;seq;21.0745;26.9606;0.0276236
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/460294/2048x2048_out_hybrid_1d_seq.h5;seq;21.0745;26.9482;0.0276108
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;;seq;20.387;53.6037;0.109844
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/460294/4096x4096_out_hybrid_1d_seq.h5;seq;20.387;54.0224;0.110702
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/460294/4096x4096_out_hybrid_1d_seq.h5;seq;20.387;54.9686;0.112641
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;;seq;20.387;52.4673;0.107515
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/460294/4096x4096_out_hybrid_1d_seq.h5;seq;20.387;54.0893;0.110839
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/460294/4096x4096_out_hybrid_1d_seq.h5;seq;20.387;54.0996;0.11086
2;2;1;16;256;78125;50;0.001;input_data_256.h5;;par;83.8103;1.6551;2.11853e-05
2;2;1;16;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/460294/256x256_out_hybrid_1d_par.h5;par;83.8103;2.23346;2.85883e-05
2;2;1;16;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/460294/256x256_out_hybrid_1d_par.h5;par;83.8103;6.18444;7.91609e-05
2;2;1;16;256;78125;50;0.001;input_data_256.h5;;par;83.8103;2.0183;2.58343e-05
2;2;1;16;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/460294/256x256_out_hybrid_1d_par.h5;par;83.8103;2.57925;3.30144e-05
2;2;1;16;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/460294/256x256_out_hybrid_1d_par.h5;par;83.8103;6.07716;7.77877e-05
2;2;1;16;512;39062;50;0.001;input_data_512.h5;;par;45.5815;1.46716;3.75598e-05
2;2;1;16;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460294/512x512_out_hybrid_1d_par.h5;par;45.5815;2.16527;5.54317e-05
2;2;1;16;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460294/512x512_out_hybrid_1d_par.h5;par;45.5815;4.52574;0.00011586
2;2;1;16;512;39062;50;0.001;input_data_512.h5;;par;45.5815;1.91267;4.89649e-05
2;2;1;16;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460294/512x512_out_hybrid_1d_par.h5;par;45.5815;2.60213;6.66154e-05
2;2;1;16;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460294/512x512_out_hybrid_1d_par.h5;par;45.5815;4.99181;0.000127792
2;2;1;16;1024;19531;50;0.001;input_data_1024.h5;;par;29.2149;2.18532;0.00011189
2;2;1;16;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/460294/1024x1024_out_hybrid_1d_par.h5;par;29.2149;3.29478;0.000168695
2;2;1;16;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/460294/1024x1024_out_hybrid_1d_par.h5;par;29.2149;12.5951;0.000644879
2;2;1;16;1024;19531;50;0.001;input_data_1024.h5;;par;29.2149;2.71292;0.000138903
2;2;1;16;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/460294/1024x1024_out_hybrid_1d_par.h5;par;29.2149;3.78784;0.00019394
2;2;1;16;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/460294/1024x1024_out_hybrid_1d_par.h5;par;29.2149;8.56704;0.000438638
2;2;1;16;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;4.25281;0.000435516
2;2;1;16;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/460294/2048x2048_out_hybrid_1d_par.h5;par;23.293;6.56428;0.000672225
