mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.2812;2.69525;0.000345014
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/461617/256x256_out_mpi_2d_seq.h5;seq;43.2812;2.74459;0.00035133
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/461617/256x256_out_mpi_2d_seq.h5;seq;43.2812;2.74331;0.000351166
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.2812;2.64489;0.000338567
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/461617/256x256_out_mpi_2d_seq.h5;seq;43.2812;2.74046;0.000350801
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/461617/256x256_out_mpi_2d_seq.h5;seq;43.2812;2.74128;0.000350906
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.3793;5.3005;0.00135702
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/461617/512x512_out_mpi_2d_seq.h5;seq;28.3793;5.48656;0.00140465
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/461617/512x512_out_mpi_2d_seq.h5;seq;28.3793;5.48479;0.00140419
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.3793;5.30116;0.00135718
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/461617/512x512_out_mpi_2d_seq.h5;seq;28.3793;5.48557;0.0014044
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/461617/512x512_out_mpi_2d_seq.h5;seq;28.3793;5.48519;0.0014043
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;;seq;22.9994;12.9791;0.00664574
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/461617/1024x1024_out_mpi_2d_seq.h5;seq;22.9994;13.3514;0.00683636
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/461617/1024x1024_out_mpi_2d_seq.h5;seq;22.9994;13.3178;0.00681916
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;;seq;22.9994;13.1329;0.0067245
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/461617/1024x1024_out_mpi_2d_seq.h5;seq;22.9994;13.347;0.0068341
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/461617/1024x1024_out_mpi_2d_seq.h5;seq;22.9994;13.3574;0.00683943
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;;seq;21.0745;26.4926;0.0271441
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/461617/2048x2048_out_mpi_2d_seq.h5;seq;21.0745;26.9905;0.0276542
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/461617/2048x2048_out_mpi_2d_seq.h5;seq;21.0745;26.9891;0.0276527
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;;seq;21.0745;26.2255;0.0268704
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/461617/2048x2048_out_mpi_2d_seq.h5;seq;21.0745;26.9433;0.0276059
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/461617/2048x2048_out_mpi_2d_seq.h5;seq;21.0745;27.0066;0.0276707
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;;seq;20.387;52.4981;0.107578
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/461617/4096x4096_out_mpi_2d_seq.h5;seq;20.387;54.0288;0.110715
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/461617/4096x4096_out_mpi_2d_seq.h5;seq;20.387;54.4988;0.111678
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;;seq;20.387;52.4086;0.107395
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/461617/4096x4096_out_mpi_2d_seq.h5;seq;20.387;54.0421;0.110742
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/461617/4096x4096_out_mpi_2d_seq.h5;seq;20.387;53.9813;0.110617
16;4;4;1;256;78125;50;0.001;input_data_256.h5;;par;83.8104;1.39682;1.78793e-05
16;4;4;1;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/461617/256x256_out_mpi_2d_par.h5;par;83.8104;1.89768;2.42903e-05
16;4;4;1;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/461617/256x256_out_mpi_2d_par.h5;par;83.8104;7.87899;0.000100851
16;4;4;1;256;78125;50;0.001;input_data_256.h5;;par;83.8104;2.23674;2.86303e-05
16;4;4;1;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/461617/256x256_out_mpi_2d_par.h5;par;83.8104;3.65332;4.67625e-05
16;4;4;1;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/461617/256x256_out_mpi_2d_par.h5;par;83.8104;19.293;0.000246951
16;4;4;1;512;39062;50;0.001;input_data_512.h5;;par;45.5803;1.40711;3.60225e-05
16;4;4;1;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/461617/512x512_out_mpi_2d_par.h5;par;45.5803;2.24349;5.7434e-05
16;4;4;1;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/461617/512x512_out_mpi_2d_par.h5;par;45.5803;60.0324;0.00153685
16;4;4;1;512;39062;50;0.001;input_data_512.h5;;par;45.5803;1.91959;4.91421e-05
16;4;4;1;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/461617/512x512_out_mpi_2d_par.h5;par;45.5803;2.75826;7.06123e-05
16;4;4;1;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/461617/512x512_out_mpi_2d_par.h5;par;45.5803;12.6486;0.000323809
16;4;4;1;1024;19531;50;0.001;input_data_1024.h5;;par;29.2131;1.97189;0.000100962
16;4;4;1;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/461617/1024x1024_out_mpi_2d_par.h5;par;29.2131;3.01078;0.000154154
16;4;4;1;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/461617/1024x1024_out_mpi_2d_par.h5;par;29.2131;48.9854;0.00250809
16;4;4;1;1024;19531;50;0.001;input_data_1024.h5;;par;29.2131;2.29678;0.000117597
16;4;4;1;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/461617/1024x1024_out_mpi_2d_par.h5;par;29.2131;3.50395;0.000179405
16;4;4;1;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/461617/1024x1024_out_mpi_2d_par.h5;par;29.2131;5.60386;0.000286922
