mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.2812;2.6977;0.000345327
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/460608/256x256_out_hybrid_2d_seq.h5;seq;43.2812;2.74681;0.000351614
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/460608/256x256_out_hybrid_2d_seq.h5;seq;43.2812;2.74431;0.000351294
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.2812;2.70016;0.000345642
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/460608/256x256_out_hybrid_2d_seq.h5;seq;43.2812;2.7438;0.000351229
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/460608/256x256_out_hybrid_2d_seq.h5;seq;43.2812;2.74301;0.000351128
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.3793;5.41913;0.00138739
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460608/512x512_out_hybrid_2d_seq.h5;seq;28.3793;5.4902;0.00140558
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460608/512x512_out_hybrid_2d_seq.h5;seq;28.3793;5.48858;0.00140517
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.3793;5.42388;0.0013886
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460608/512x512_out_hybrid_2d_seq.h5;seq;28.3793;5.48624;0.00140457
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460608/512x512_out_hybrid_2d_seq.h5;seq;28.3793;5.48874;0.00140521
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;;seq;22.9994;13.284;0.00680185
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/460608/1024x1024_out_hybrid_2d_seq.h5;seq;22.9994;13.2647;0.00679196
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/460608/1024x1024_out_hybrid_2d_seq.h5;seq;22.9994;13.3055;0.00681285
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;;seq;22.9994;13.1;0.00670763
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/460608/1024x1024_out_hybrid_2d_seq.h5;seq;22.9994;13.3372;0.00682907
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/460608/1024x1024_out_hybrid_2d_seq.h5;seq;22.9994;13.3143;0.00681736
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;;seq;21.0745;26.3029;0.0269497
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/460608/2048x2048_out_hybrid_2d_seq.h5;seq;21.0745;26.9594;0.0276223
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/460608/2048x2048_out_hybrid_2d_seq.h5;seq;21.0745;26.9675;0.0276307
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;;seq;21.0745;26.6067;0.027261
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/460608/2048x2048_out_hybrid_2d_seq.h5;seq;21.0745;26.956;0.0276188
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/460608/2048x2048_out_hybrid_2d_seq.h5;seq;21.0745;26.9556;0.0276184
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;;seq;20.387;52.5023;0.107587
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/460608/4096x4096_out_hybrid_2d_seq.h5;seq;20.387;54.0987;0.110858
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/460608/4096x4096_out_hybrid_2d_seq.h5;seq;20.387;54.0353;0.110728
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;;seq;20.387;54.1365;0.110936
