mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.2812;2.64488;0.000338566
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/460609/256x256_out_mpi_2d_seq.h5;seq;43.2812;2.74687;0.000351622
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/460609/256x256_out_mpi_2d_seq.h5;seq;43.2812;2.74317;0.000351148
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.2812;2.69976;0.000345592
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/460609/256x256_out_mpi_2d_seq.h5;seq;43.2812;2.74637;0.000351557
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/460609/256x256_out_mpi_2d_seq.h5;seq;43.2812;2.74517;0.000351405
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.3793;5.30459;0.00135806
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460609/512x512_out_mpi_2d_seq.h5;seq;28.3793;5.49194;0.00140603
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460609/512x512_out_mpi_2d_seq.h5;seq;28.3793;5.48931;0.00140535
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.3793;5.30176;0.00135734
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460609/512x512_out_mpi_2d_seq.h5;seq;28.3793;5.48797;0.00140501
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460609/512x512_out_mpi_2d_seq.h5;seq;28.3793;5.48716;0.0014048
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;;seq;22.9994;12.8473;0.00657826
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/460609/1024x1024_out_mpi_2d_seq.h5;seq;22.9994;13.2227;0.00677047
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/460609/1024x1024_out_mpi_2d_seq.h5;seq;22.9994;13.2214;0.00676977
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;;seq;22.9994;12.8303;0.00656955
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/460609/1024x1024_out_mpi_2d_seq.h5;seq;22.9994;13.2114;0.00676469
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/460609/1024x1024_out_mpi_2d_seq.h5;seq;22.9994;13.2131;0.00676557
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;;seq;21.0745;26.1556;0.0267987
