output_type;stripe;mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time
seq;1K;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_1K/1024x1024_out_par.h5;par;23.3835;1.39731;0.000557807
par;1K;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_1K/1024x1024_out_par.h5;par;23.3835;2.24145;0.000894791
seq;1K;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_1K/2048x2048_out_par.h5;par;21.6921;2.79306;0.001115
par;1K;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_1K/2048x2048_out_par.h5;par;21.6921;4.41121;0.00176096
seq;1K;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_1K/4096x4096_out_par.h5;par;20.8461;11.4148;0.00455682
par;1K;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_1K/4096x4096_out_par.h5;par;20.8461;30.1048;0.0120179
seq;2K;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_2K/1024x1024_out_par.h5;par;23.3835;1.11435;0.00044485
par;2K;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_2K/1024x1024_out_par.h5;par;23.3835;1.59922;0.00063841
seq;2K;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_2K/2048x2048_out_par.h5;par;21.6921;2.8497;0.00113761
par;2K;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_2K/2048x2048_out_par.h5;par;21.6921;4.33519;0.00173061
seq;2K;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_2K/4096x4096_out_par.h5;par;20.8461;10.0613;0.00401648
par;2K;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_2K/4096x4096_out_par.h5;par;20.8461;37.316;0.0148966
seq;4K;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_4K/1024x1024_out_par.h5;par;23.3835;1.10756;0.000442141
par;4K;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_4K/1024x1024_out_par.h5;par;23.3835;2.71689;0.00108459
seq;4K;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_4K/2048x2048_out_par.h5;par;21.6921;3.19881;0.00127697
par;4K;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_4K/2048x2048_out_par.h5;par;21.6921;7.21263;0.00287929
seq;4K;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_4K/4096x4096_out_par.h5;par;20.8461;9.54368;0.00380985
par;4K;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_4K/4096x4096_out_par.h5;par;20.8461;42.1321;0.0168192
seq;8K;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_8K/1024x1024_out_par.h5;par;23.3835;1.11939;0.000446864
par;8K;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_8K/1024x1024_out_par.h5;par;23.3835;1.89504;0.000756503
seq;8K;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_8K/2048x2048_out_par.h5;par;21.6921;3.1087;0.001241
par;8K;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_8K/2048x2048_out_par.h5;par;21.6921;3.68599;0.00147145
seq;8K;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_8K/4096x4096_out_par.h5;par;20.8461;10.2815;0.00410439
par;8K;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_8K/4096x4096_out_par.h5;par;20.8461;29.3772;0.0117274
seq;16K;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_16K/1024x1024_out_par.h5;par;23.3835;1.12892;0.000450668
par;16K;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_16K/1024x1024_out_par.h5;par;23.3835;1.64515;0.000656745
seq;16K;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_16K/2048x2048_out_par.h5;par;21.6921;3.07803;0.00122875
par;16K;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_16K/2048x2048_out_par.h5;par;21.6921;7.00405;0.00279603
seq;16K;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_16K/4096x4096_out_par.h5;par;20.8461;10.3966;0.00415035
par;16K;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_16K/4096x4096_out_par.h5;par;20.8461;33.9076;0.013536
seq;32K;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_32K/1024x1024_out_par.h5;par;23.3835;1.11832;0.000446434
par;32K;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_32K/1024x1024_out_par.h5;par;23.3835;1.61003;0.000642726
seq;32K;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_32K/2048x2048_out_par.h5;par;21.6921;3.05102;0.00121797
par;32K;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_32K/2048x2048_out_par.h5;par;21.6921;3.71941;0.0014848
seq;32K;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_32K/4096x4096_out_par.h5;par;20.8461;9.64546;0.00385048
par;32K;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_32K/4096x4096_out_par.h5;par;20.8461;30.0174;0.011983
seq;64K;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_64K/1024x1024_out_par.h5;par;23.3835;1.10904;0.000442729
par;64K;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_64K/1024x1024_out_par.h5;par;23.3835;2.25686;0.000900943
seq;64K;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_64K/2048x2048_out_par.h5;par;21.6921;3.29128;0.00131388
par;64K;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_64K/2048x2048_out_par.h5;par;21.6921;6.62767;0.00264577
seq;64K;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_64K/4096x4096_out_par.h5;par;20.8461;10.8746;0.00434115
par;64K;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_64K/4096x4096_out_par.h5;par;20.8461;20.3911;0.00814017
seq;128K;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_128K/1024x1024_out_par.h5;par;23.3835;1.107;0.000441916
par;128K;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_128K/1024x1024_out_par.h5;par;23.3835;3.18764;0.00127251
seq;128K;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_128K/2048x2048_out_par.h5;par;21.6921;3.26952;0.0013052
par;128K;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_128K/2048x2048_out_par.h5;par;21.6921;6.43154;0.00256748
seq;128K;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_128K/4096x4096_out_par.h5;par;20.8461;11.3826;0.00454396
par;128K;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_128K/4096x4096_out_par.h5;par;20.8461;13.772;0.0054978
seq;256K;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_256K/1024x1024_out_par.h5;par;23.3835;1.12901;0.000450703
par;256K;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_256K/1024x1024_out_par.h5;par;23.3835;1.55071;0.000619045
seq;256K;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_256K/2048x2048_out_par.h5;par;21.6921;3.1552;0.00125956
par;256K;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_256K/2048x2048_out_par.h5;par;21.6921;8.88011;0.00354496
seq;256K;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_256K/4096x4096_out_par.h5;par;20.8461;10.4397;0.00416753
par;256K;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_256K/4096x4096_out_par.h5;par;20.8461;14.317;0.00571536
seq;512K;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_512K/1024x1024_out_par.h5;par;23.3835;1.12881;0.000450624
par;512K;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_512K/1024x1024_out_par.h5;par;23.3835;1.51715;0.00060565
seq;512K;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_512K/2048x2048_out_par.h5;par;21.6921;2.9069;0.00116044
par;512K;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_512K/2048x2048_out_par.h5;par;21.6921;3.96125;0.00158134
seq;512K;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_512K/4096x4096_out_par.h5;par;20.8461;9.99903;0.00399163
par;512K;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_512K/4096x4096_out_par.h5;par;20.8461;24.8844;0.00993388
seq;1M;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_1M/1024x1024_out_par.h5;par;23.3835;1.1404;0.000455251
par;1M;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_1M/1024x1024_out_par.h5;par;23.3835;1.64966;0.000658547
seq;1M;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_1M/2048x2048_out_par.h5;par;21.6921;2.84687;0.00113648
par;1M;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_1M/2048x2048_out_par.h5;par;21.6921;7.44758;0.00297309
seq;1M;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_1M/4096x4096_out_par.h5;par;20.8461;9.64675;0.003851
par;1M;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_1M/4096x4096_out_par.h5;par;20.8461;42.7059;0.0170483
seq;2M;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_2M/1024x1024_out_par.h5;par;23.3835;1.0768;0.00042986
par;2M;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_2M/1024x1024_out_par.h5;par;23.3835;1.78491;0.000712538
seq;2M;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_2M/2048x2048_out_par.h5;par;21.6921;2.99808;0.00119684
par;2M;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_2M/2048x2048_out_par.h5;par;21.6921;3.89139;0.00155345
seq;2M;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_2M/4096x4096_out_par.h5;par;20.8461;11.0802;0.00442324
par;2M;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463899/stripe_2M/4096x4096_out_par.h5;par;20.8461;18.5163;0.00739172
