mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time;comm_delay;mode
2;2;1;16;256;78125;50;0.001;input_data_256.h5;;par;83.8103;1.31086;1.67791e-05;2118;1
2;2;1;16;256;78125;50;0.001;input_data_256.h5;;par;83.8103;1.48962;1.90671e-05;2409;2
2;2;1;16;512;39062;50;0.001;input_data_512.h5;;par;45.5815;1.22698;3.14112e-05;2061;1
2;2;1;16;512;39062;50;0.001;input_data_512.h5;;par;45.5815;1.35105;3.45874e-05;4367;2
2;2;1;16;1024;19531;50;0.001;input_data_1024.h5;;par;29.2149;1.83388;9.38957e-05;2930;1
2;2;1;16;1024;19531;50;0.001;input_data_1024.h5;;par;29.2149;2.01506;0.000103172;7135;2
2;2;1;16;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;3.91132;0.000400545;6953;1
2;2;1;16;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;4.07697;0.000417509;19072;2
2;2;1;16;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;9.92652;0.00203329;15721;1
2;2;1;16;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;10.0927;0.00206733;37467;2
4;4;1;16;256;78125;50;0.001;input_data_256.h5;;par;83.8104;2.17821;2.78811e-05;10925;1
4;4;1;16;256;78125;50;0.001;input_data_256.h5;;par;83.8104;2.94262;3.76656e-05;11070;2
4;4;1;16;512;39062;50;0.001;input_data_512.h5;;par;45.5806;1.85133;4.73946e-05;20527;1
4;4;1;16;512;39062;50;0.001;input_data_512.h5;;par;45.5806;2.31409;5.92415e-05;13922;2
4;4;1;16;1024;19531;50;0.001;input_data_1024.h5;;par;29.2133;2.02465;0.000103663;39705;1
4;4;1;16;1024;19531;50;0.001;input_data_1024.h5;;par;29.2133;2.35632;0.000120645;18865;2
4;4;1;16;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;3.10554;0.000318027;98050;1
4;4;1;16;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;3.40526;0.000348721;26290;2
4;4;1;16;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;7.53859;0.00154416;321954;1
4;4;1;16;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;7.82191;0.00160219;42747;2
8;8;1;16;256;78125;50;0.001;input_data_256.h5;;par;83.8104;1.81064;2.31762e-05;8112;1
8;8;1;16;256;78125;50;0.001;input_data_256.h5;;par;83.8104;2.84819;3.64569e-05;13312;2
8;8;1;16;512;39062;50;0.001;input_data_512.h5;;par;45.5804;2.12888;5.44999e-05;19287;1
8;8;1;16;512;39062;50;0.001;input_data_512.h5;;par;45.5804;2.79118;7.14552e-05;18287;2
8;8;1;16;1024;19531;50;0.001;input_data_1024.h5;;par;29.2132;1.91102;9.78453e-05;38778;1
8;8;1;16;1024;19531;50;0.001;input_data_1024.h5;;par;29.2132;2.37073;0.000121383;23649;2
8;8;1;16;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;2.54604;0.000260732;85997;1
8;8;1;16;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;2.9264;0.000299683;30227;2
8;8;1;16;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;4.58272;0.000938697;239889;1
8;8;1;16;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;4.83141;0.000989637;36133;2
16;16;1;16;256;78125;50;0.001;input_data_256.h5;;par;83.8104;1.5946;2.04109e-05;8372;1
16;16;1;16;256;78125;50;0.001;input_data_256.h5;;par;83.8104;3.16034;4.04523e-05;16503;2
16;16;1;16;512;39062;50;0.001;input_data_512.h5;;par;45.5808;1.55096;3.97052e-05;13858;1
16;16;1;16;512;39062;50;0.001;input_data_512.h5;;par;45.5808;2.53113;6.47978e-05;19066;2
16;16;1;16;1024;19531;50;0.001;input_data_1024.h5;;par;29.2138;2.12248;0.000108672;38359;1
16;16;1;16;1024;19531;50;0.001;input_data_1024.h5;;par;29.2138;2.69257;0.000137861;27402;2
16;16;1;16;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;2.32623;0.000238221;73220;1
16;16;1;16;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;2.68755;0.000275223;33801;2
16;16;1;16;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;3.6596;0.000749611;145259;1
16;16;1;16;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;3.84551;0.000787692;41019;2
