mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time;halo_delay;mode
2;2;1;16;256;78125;50;0.001;input_data_256.h5;;par;83.8103;1.31618;1.68471e-05;8077;1
2;2;1;16;256;78125;50;0.001;input_data_256.h5;;par;83.8103;1.49396;1.91226e-05;8156;2
2;2;1;16;512;39062;50;0.001;input_data_512.h5;;par;45.5815;1.23786;3.16896e-05;16043;1
2;2;1;16;512;39062;50;0.001;input_data_512.h5;;par;45.5815;1.35908;3.47929e-05;16137;2
2;2;1;16;1024;19531;50;0.001;input_data_1024.h5;;par;29.2149;1.8292;9.3656e-05;45643;1
2;2;1;16;1024;19531;50;0.001;input_data_1024.h5;;par;29.2149;2.00238;0.000102523;48479;2
2;2;1;16;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;3.87625;0.000396953;126374;1
2;2;1;16;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;4.02797;0.00041249;131131;2
2;2;1;16;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;9.905;0.00202888;358662;1
2;2;1;16;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;10.0418;0.0020569;365169;2
4;4;1;16;256;78125;50;0.001;input_data_256.h5;;par;83.8104;2.18078;2.7914e-05;12447;1
4;4;1;16;256;78125;50;0.001;input_data_256.h5;;par;83.8104;3.03655;3.88679e-05;12730;2
4;4;1;16;512;39062;50;0.001;input_data_512.h5;;par;45.5806;1.86444;4.77302e-05;23508;1
4;4;1;16;512;39062;50;0.001;input_data_512.h5;;par;45.5806;2.29251;5.86891e-05;23335;2
4;4;1;16;1024;19531;50;0.001;input_data_1024.h5;;par;29.2133;2.00023;0.000102413;51296;1
4;4;1;16;1024;19531;50;0.001;input_data_1024.h5;;par;29.2133;2.35208;0.000120428;51963;2
4;4;1;16;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;3.09073;0.000316511;137882;1
4;4;1;16;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;3.40917;0.000349121;143103;2
4;4;1;16;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;7.49718;0.00153568;533013;1
4;4;1;16;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;7.82774;0.00160339;535952;2
8;8;1;16;256;78125;50;0.001;input_data_256.h5;;par;83.8104;1.80846;2.31483e-05;9495;1
8;8;1;16;256;78125;50;0.001;input_data_256.h5;;par;83.8104;2.82869;3.62072e-05;8818;2
8;8;1;16;512;39062;50;0.001;input_data_512.h5;;par;45.5804;2.0604;5.2747e-05;27450;1
8;8;1;16;512;39062;50;0.001;input_data_512.h5;;par;45.5804;2.79758;7.16191e-05;27489;2
8;8;1;16;1024;19531;50;0.001;input_data_1024.h5;;par;29.2132;1.94661;9.96675e-05;54868;1
8;8;1;16;1024;19531;50;0.001;input_data_1024.h5;;par;29.2132;2.3564;0.000120649;54969;2
8;8;1;16;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;2.55549;0.000261699;133022;1
8;8;1;16;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;2.86377;0.000293269;137923;2
8;8;1;16;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;4.49956;0.000921663;398510;1
8;8;1;16;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;4.8044;0.000984105;405757;2
16;16;1;16;256;78125;50;0.001;input_data_256.h5;;par;83.8104;1.60701;2.05697e-05;7877;1
16;16;1;16;256;78125;50;0.001;input_data_256.h5;;par;83.8104;3.13244;4.00952e-05;7908;2
16;16;1;16;512;39062;50;0.001;input_data_512.h5;;par;45.5808;1.54118;3.94547e-05;18268;1
16;16;1;16;512;39062;50;0.001;input_data_512.h5;;par;45.5808;2.52807;6.47195e-05;19668;2
16;16;1;16;1024;19531;50;0.001;input_data_1024.h5;;par;29.2138;2.12506;0.000108805;58801;1
16;16;1;16;1024;19531;50;0.001;input_data_1024.h5;;par;29.2138;2.68021;0.000137228;59023;2
16;16;1;16;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;2.35424;0.00024109;117110;1
16;16;1;16;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;2.6785;0.000274296;118604;2
16;16;1;16;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;3.64417;0.00074645;283297;1
16;16;1;16;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;3.84396;0.000787374;294728;2
