mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time;comm_delay;mode
16;4;4;1;256;78125;50;0.001;input_data_256.h5;;par;83.8103;1.22767;1.57141e-05;5173;1
16;4;4;1;256;78125;50;0.001;input_data_256.h5;;par;83.8103;1.78346;2.28283e-05;6784;2
16;4;4;1;512;39062;50;0.001;input_data_512.h5;;par;45.5803;1.30837;3.34947e-05;6739;1
16;4;4;1;512;39062;50;0.001;input_data_512.h5;;par;45.5803;1.62879;4.16977e-05;7952;2
16;4;4;1;1024;19531;50;0.001;input_data_1024.h5;;par;29.2131;1.90191;9.73792e-05;13072;1
16;4;4;1;1024;19531;50;0.001;input_data_1024.h5;;par;29.2131;2.12412;0.000108756;11692;2
16;4;4;1;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;5.3342;0.000546257;51855;1
16;4;4;1;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;5.70512;0.000584242;56329;2
16;4;4;1;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;22.7083;0.00465142;692001;1
16;4;4;1;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;23.729;0.00486051;873192;2
32;4;8;1;256;78125;50;0.001;input_data_256.h5;;par;83.8103;1.26624;1.62078e-05;6058;1
32;4;8;1;256;78125;50;0.001;input_data_256.h5;;par;83.8103;1.95615;2.50388e-05;9113;2
32;4;8;1;512;39062;50;0.001;input_data_512.h5;;par;45.5799;1.16187;2.97443e-05;8730;1
32;4;8;1;512;39062;50;0.001;input_data_512.h5;;par;45.5799;1.6167;4.13881e-05;12286;2
32;4;8;1;1024;19531;50;0.001;input_data_1024.h5;;par;29.2119;1.43824;7.36391e-05;15682;1
32;4;8;1;1024;19531;50;0.001;input_data_1024.h5;;par;29.2119;1.68984;8.65208e-05;16633;2
32;4;8;1;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;3.01772;0.000309034;68719;1
32;4;8;1;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;3.46739;0.000355083;45385;2
32;4;8;1;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;13.8329;0.00283345;712932;1
32;4;8;1;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;13.0505;0.00267318;318122;2
64;8;8;1;256;78125;50;0.001;input_data_256.h5;;par;83.8104;1.16557;1.49193e-05;5382;1
64;8;8;1;256;78125;50;0.001;input_data_256.h5;;par;83.8104;3.14627;4.02723e-05;16293;2
64;8;8;1;512;39062;50;0.001;input_data_512.h5;;par;45.5802;1.08212;2.77025e-05;6902;1
64;8;8;1;512;39062;50;0.001;input_data_512.h5;;par;45.5802;2.17293;5.56276e-05;19753;2
64;8;8;1;1024;19531;50;0.001;input_data_1024.h5;;par;29.212;1.31627;6.73937e-05;18509;1
64;8;8;1;1024;19531;50;0.001;input_data_1024.h5;;par;29.212;1.97467;0.000101104;25184;2
64;8;8;1;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;2.21805;0.000227142;61200;1
64;8;8;1;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;2.79601;0.00028633;52607;2
64;8;8;1;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;7.38507;0.00151271;388454;1
64;8;8;1;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;7.29004;0.00149325;175906;2
128;8;16;1;256;78125;50;0.001;input_data_256.h5;;par;83.8105;1.52191;1.94805e-05;6307;1
128;8;16;1;256;78125;50;0.001;input_data_256.h5;;par;83.8105;4.05419;5.18936e-05;21101;2
128;8;16;1;512;39062;50;0.001;input_data_512.h5;;par;45.58;1.2432;3.18264e-05;12136;1
128;8;16;1;512;39062;50;0.001;input_data_512.h5;;par;45.58;2.70067;6.91379e-05;24071;2
128;8;16;1;1024;19531;50;0.001;input_data_1024.h5;;par;29.212;1.37181;7.02376e-05;25238;1
128;8;16;1;1024;19531;50;0.001;input_data_1024.h5;;par;29.212;2.22377;0.000113859;30510;2
128;8;16;1;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;1.93619;0.000198279;56229;1
128;8;16;1;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;2.86385;0.000293277;46019;2
128;8;16;1;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;3.21893;0.000659347;180647;1
128;8;16;1;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;3.48933;0.000714734;100423;2
