mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time;comm_delay;mode
16;4;4;1;256;78125;50;0.001;input_data_256.h5;;par;83.8104;1.25524;1.6067e-05;4998;1
16;4;4;1;256;78125;50;0.001;input_data_256.h5;;par;83.8104;1.80324;2.30815e-05;7894;2
16;4;4;1;512;39062;50;0.001;input_data_512.h5;;par;45.5803;1.31716;3.37198e-05;7760;1
16;4;4;1;512;39062;50;0.001;input_data_512.h5;;par;45.5803;1.65431;4.23508e-05;8332;2
16;4;4;1;1024;19531;50;0.001;input_data_1024.h5;;par;29.2131;1.87669;9.60879e-05;8322;1
16;4;4;1;1024;19531;50;0.001;input_data_1024.h5;;par;29.2131;2.21423;0.00011337;12832;2
16;4;4;1;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;5.96936;0.000611301;101362;1
16;4;4;1;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;6.20103;0.000635026;12661;2
16;4;4;1;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;22.6504;0.00463957;1353893;1
16;4;4;1;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;24.2615;0.00496958;117617;2
32;4;8;1;256;78125;50;0.001;input_data_256.h5;;par;83.8104;1.15109;1.4734e-05;3907;1
32;4;8;1;256;78125;50;0.001;input_data_256.h5;;par;83.8104;1.94053;2.48387e-05;10902;2
32;4;8;1;512;39062;50;0.001;input_data_512.h5;;par;45.5799;1.2424;3.18058e-05;7386;1
32;4;8;1;512;39062;50;0.001;input_data_512.h5;;par;45.5799;1.59594;4.08566e-05;14364;2
32;4;8;1;1024;19531;50;0.001;input_data_1024.h5;;par;29.2118;1.37683;7.04946e-05;7360;1
32;4;8;1;1024;19531;50;0.001;input_data_1024.h5;;par;29.2118;1.68156;8.6097e-05;17272;2
32;4;8;1;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;3.14777;0.000322352;34473;1
32;4;8;1;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;3.36258;0.000344351;48441;2
32;4;8;1;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;11.9796;0.00245383;158568;1
32;4;8;1;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;15.2783;0.00312952;509872;2
64;8;8;1;256;78125;50;0.001;input_data_256.h5;;par;83.8104;1.18711;1.5195e-05;4200;1
64;8;8;1;256;78125;50;0.001;input_data_256.h5;;par;83.8104;3.04427;3.89667e-05;17882;2
64;8;8;1;512;39062;50;0.001;input_data_512.h5;;par;45.5802;1.07957;2.76373e-05;4840;1
64;8;8;1;512;39062;50;0.001;input_data_512.h5;;par;45.5802;2.21134;5.66111e-05;23273;2
64;8;8;1;1024;19531;50;0.001;input_data_1024.h5;;par;29.2119;1.32221;6.76982e-05;6787;1
64;8;8;1;1024;19531;50;0.001;input_data_1024.h5;;par;29.2119;1.99694;0.000102245;19214;2
64;8;8;1;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;1.87054;0.000191555;11682;1
64;8;8;1;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;2.31086;0.000236647;49361;2
64;8;8;1;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;7.37691;0.00151104;346546;1
64;8;8;1;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;8.44024;0.00172885;200524;2
128;8;16;1;256;78125;50;0.001;input_data_256.h5;;par;83.8104;1.36525;1.74752e-05;4142;1
128;8;16;1;256;78125;50;0.001;input_data_256.h5;;par;83.8104;4.05992;5.1967e-05;22684;2
128;8;16;1;512;39062;50;0.001;input_data_512.h5;;par;45.58;1.19239;3.05255e-05;6114;1
128;8;16;1;512;39062;50;0.001;input_data_512.h5;;par;45.58;2.66464;6.82157e-05;25166;2
128;8;16;1;1024;19531;50;0.001;input_data_1024.h5;;par;29.2118;1.3707;7.01809e-05;7116;1
128;8;16;1;1024;19531;50;0.001;input_data_1024.h5;;par;29.2118;2.2824;0.00011686;40135;2
128;8;16;1;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;2.09279;0.000214316;9787;1
128;8;16;1;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;3.10836;0.000318317;55134;2
128;8;16;1;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;3.3382;0.000683776;19448;1
128;8;16;1;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;3.65723;0.000749125;127647;2
