mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time;halo_delay;mode
16;4;4;1;256;78125;50;0.001;input_data_256.h5;;par;83.8104;1.242;1.58976e-05;2815;1
16;4;4;1;256;78125;50;0.001;input_data_256.h5;;par;83.8104;1.81009;2.31691e-05;2814;2
16;4;4;1;512;39062;50;0.001;input_data_512.h5;;par;45.5803;1.28834;3.2982e-05;5727;1
16;4;4;1;512;39062;50;0.001;input_data_512.h5;;par;45.5803;1.61417;4.13234e-05;5709;2
16;4;4;1;1024;19531;50;0.001;input_data_1024.h5;;par;29.2131;1.85144;9.4795e-05;12840;1
16;4;4;1;1024;19531;50;0.001;input_data_1024.h5;;par;29.2131;2.16603;0.000110902;12681;2
16;4;4;1;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;4.9055;0.000502355;36216;1
16;4;4;1;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;6.25252;0.000640299;36307;2
16;4;4;1;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;20.4611;0.00419113;281424;1
16;4;4;1;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;24.1724;0.00495133;277869;2
32;4;8;1;256;78125;50;0.001;input_data_256.h5;;par;83.8104;1.1999;1.53587e-05;2334;1
32;4;8;1;256;78125;50;0.001;input_data_256.h5;;par;83.8104;2.00904;2.57157e-05;2336;2
32;4;8;1;512;39062;50;0.001;input_data_512.h5;;par;45.5799;1.17774;3.01505e-05;4762;1
32;4;8;1;512;39062;50;0.001;input_data_512.h5;;par;45.5799;1.56245;3.99992e-05;4762;2
32;4;8;1;1024;19531;50;0.001;input_data_1024.h5;;par;29.2118;1.40612;7.19942e-05;9809;1
32;4;8;1;1024;19531;50;0.001;input_data_1024.h5;;par;29.2118;1.66343;8.51687e-05;9862;2
32;4;8;1;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;3.0588;0.000313242;26309;1
32;4;8;1;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;3.87634;0.000396962;25184;2
32;4;8;1;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;14.0865;0.00288539;172100;1
32;4;8;1;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;14.2611;0.00292116;159818;2
64;8;8;1;256;78125;50;0.001;input_data_256.h5;;par;83.8104;1.16295;1.48858e-05;1679;1
64;8;8;1;256;78125;50;0.001;input_data_256.h5;;par;83.8104;3.03522;3.88509e-05;1702;2
64;8;8;1;512;39062;50;0.001;input_data_512.h5;;par;45.5802;1.06002;2.71369e-05;3341;1
64;8;8;1;512;39062;50;0.001;input_data_512.h5;;par;45.5802;2.10273;5.38305e-05;3357;2
64;8;8;1;1024;19531;50;0.001;input_data_1024.h5;;par;29.2119;1.36172;6.97211e-05;6850;1
64;8;8;1;1024;19531;50;0.001;input_data_1024.h5;;par;29.2119;1.93313;9.89775e-05;6905;2
64;8;8;1;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;1.82612;0.000187007;15280;1
64;8;8;1;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;2.34541;0.000240185;15398;2
64;8;8;1;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;6.44524;0.0013202;81122;1
64;8;8;1;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;9.73829;0.00199473;67524;2
128;8;16;1;256;78125;50;0.001;input_data_256.h5;;par;83.8104;1.49454;1.91301e-05;1286;1
128;8;16;1;256;78125;50;0.001;input_data_256.h5;;par;83.8104;4.09289;5.2389e-05;1308;2
128;8;16;1;512;39062;50;0.001;input_data_512.h5;;par;45.58;1.11511;2.85471e-05;2603;1
128;8;16;1;512;39062;50;0.001;input_data_512.h5;;par;45.58;2.72769;6.98297e-05;2567;2
128;8;16;1;1024;19531;50;0.001;input_data_1024.h5;;par;29.2118;1.37467;7.03841e-05;5272;1
128;8;16;1;1024;19531;50;0.001;input_data_1024.h5;;par;29.2118;2.27383;0.000116421;5315;2
128;8;16;1;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;2.48175;0.000254147;10502;1
128;8;16;1;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;3.05622;0.000312977;10588;2
128;8;16;1;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;3.4998;0.000716879;29286;1
128;8;16;1;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;3.71163;0.000760268;28270;2
