decomposition;mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time
2D;1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.2812;2.69976;0.000345592
2D;16;4;4;1;256;78125;50;0.001;input_data_256.h5;;par;83.8104;1.80166;2.30613e-05
2D;32;4;8;1;256;78125;50;0.001;input_data_256.h5;;par;83.8104;1.99937;2.55919e-05
2D;64;8;8;1;256;78125;50;0.001;input_data_256.h5;;par;83.8104;3.03483;3.88458e-05
2D;128;8;16;1;256;78125;50;0.001;input_data_256.h5;;par;83.8104;4.06232;5.19976e-05
2D;1;1;1;1;4096;488;50;0.001;input_data_4096.h5;;seq;20.387;52.4621;0.107504
2D;16;4;4;1;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;23.5441;0.00482263
2D;32;4;8;1;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;14.1871;0.002906
2D;64;8;8;1;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;7.21041;0.00147694
2D;128;8;16;1;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;3.49592;0.000716084
1D;1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.2812;2.69;0.000344342
1D;2;2;1;16;256;78125;50;0.001;input_data_256.h5;;par;83.8103;1.50063;1.92081e-05
1D;4;4;1;16;256;78125;50;0.001;input_data_256.h5;;par;83.8104;2.95016;3.7762e-05
1D;8;8;1;16;256;78125;50;0.001;input_data_256.h5;;par;83.8104;2.83683;3.63114e-05
1D;16;16;1;16;256;78125;50;0.001;input_data_256.h5;;par;83.8104;3.07032;3.93001e-05
1D;1;1;1;1;4096;488;50;0.001;input_data_4096.h5;;seq;20.387;52.4318;0.107442
1D;2;2;1;16;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;10.1007;0.00206897
1D;4;4;1;16;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;7.87099;0.00161225
1D;8;8;1;16;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;4.82201;0.000987712
1D;16;16;1;16;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;3.92027;0.000803005
